Category,CoursesRequirements
business,B.Com Computer Application
business,B.Com Finance & Time
business,B.Com Logistic
business,B.Com CMA
business,B.Com Stock Market &Trading
business,B.Com Fintech
healthcare,B.Pharm
healthcare,B.Sc Nursing 
others,B.Sc Agricultural
healthcare,B.Sc Allied Health Sciences
others,B.Sc Fashion Photography
healthcare,B.Sc Food Technology & Quality Assurance
healthcare,B.Sc Optometry
tech,B.Sc Cyber Forensic
tech,B.Sc Computer Science 
healthcare,B.Sc Phycology
healthcare,B.Sc Hospital Administration
healthcare,B.Sc Cardiac Care Technology (Cct)
healthcare,B.Sc Anasthesia & Operation Theatre Technology (Pes University)
healthcare,B.Sc Medical Laboratory
healthcare,B.Sc Emergency Medical Technology
business,B.Sc Hotel Management
healthcare,B.Sc Microbiology
healthcare,B.Sc Rct (Root Canal Treatment)
healthcare,B.Sc Medical Radiology
business,B.Sc Bachelor Of Hotel Management
healthcare,B.Sc Medical Imaging Technology
tech,B.Sc AI & DS Artificial Intelligence & Data Science
healthcare,B.Sc AT & OT 
engineering,B.Tech All Branches
others,BA All Branches
healthcare,BASLT Bachelor Of Audiology & Speech Language Pathology
business,BBA Aviation And Logistic
business,BBA Business Analystics
tech,BCA AI Artificial Inteligent And Data Science
tech,BCA AI Cloud Computing Cyber Security
tech,BCA All Branches
tech,BCA AI Artificial Intelligence
healthcare,BHA Healthcare Administration
healthcare,BOTBachelor Of Occupational Therapy
healthcare,BPT Bachelor Of Physiotherapy 
others,BSW Labour Welfare Social Work
others,BVA Bachelor Of Visual Arts
healthcare,D.Pharm
others,DeplomaAirline Cabin Crew
tech,DeplomaFull Stack Development
others,DeplomaUnder Water Welding
others,Fashion Designing (Advance Fabric Styling)Fashion Designing (Advance Fabric Styling)
healthcare,GNM
business,Hotel & Tourism ManagementHotel & Tourism Management
healthcare,Hotel & Tourism ManagementHotel & Tourism Management
business,M.Com Finance & Taxation
healthcare,M.Pharm 
healthcare,M.Sc Microbiology
engineering,Marine Engineering
business,MBA Master Of Business Administration
healthcare,MBBS
tech,MCA IBM 
others,MSW Master Of Social Work
healthcare,Pharm.D